,city,country,lat,lon,temp,humidity,cloudiness,windiness,datetime
355,Tabou,CI,4.423,-7.3528,299.09,86,100,4.28,1615678477
356,Portland,US,45.5234,-122.6762,289.31,41,75,2.57,1615678251
357,Sahuaripa,MX,29.05,-109.2333,291.43,16,0,4.5,1615678478
358,Ca Mau,VN,9.1769,105.15,298.28,78,64,3.4,1615678232
359,Severo-Kuril'sk,RU,50.6789,156.125,273.12,92,40,9.89,1615678478
360,Bayan,CN,46.0833,127.4,272.3,78,1,2.47,1615678479
361,Rudnyy,KZ,52.9594,63.1206,248.15,84,0,2.0,1615678479
362,Evensk,RU,61.95,159.2333,256.5,65,100,1.54,1615678479
363,Akdepe,TM,42.0551,59.3788,263.68,53,37,5.14,1615678480
364,Seddon,AU,-37.8068,144.8916,287.98,62,46,6.17,1615678480
365,Batemans Bay,AU,-35.7167,150.1833,284.09,95,100,0.89,1615678480
366,Labuhan,ID,-6.8844,112.2051,298.99,79,100,2.25,1615678481
367,Vao,NC,-22.6667,167.4833,298.01,77,89,8.62,1615678481
368,Aripuanã,BR,-9.1667,-60.6333,296.43,97,99,0.86,1615678481
369,Necochea,AR,-38.5473,-58.7368,293.15,84,0,1.84,1615678482
370,Los Llanos de Aridane,ES,28.6585,-17.9182,288.36,59,75,4.63,1615678199
371,Shimoda,JP,34.6667,138.95,285.97,72,20,4.63,1615678482
372,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,303.14,46,79,2.01,1615678483
373,General Roca,AR,-39.0333,-67.5833,300.15,32,0,1.54,1615678483
374,Skjervøy,NO,70.0311,20.9714,273.49,97,100,3.03,1615678483
375,Tuntum,BR,-5.2581,-44.6489,296.2,96,61,1.36,1615678483
376,Boddam,GB,57.4667,-1.7833,277.28,75,88,4.12,1615678484
377,Paamiut,GL,61.994,-49.6678,265.33,53,100,3.52,1615678227
378,Lompoc,US,34.6391,-120.4579,285.81,62,40,7.2,1615678023
379,Paita,PE,-5.0892,-81.1144,301.15,69,0,4.63,1615678484
380,Iqaluit,CA,63.7506,-68.5145,245.26,69,75,6.69,1615678485
381,Tandil,AR,-37.3217,-59.1332,297.04,55,78,1.79,1615678485
382,Veseloyarsk,RU,51.2836,81.1056,246.78,100,26,0.2,1615678485
383,Najrān,SA,17.4924,44.1277,294.15,26,90,3.09,1615678486
384,Qixingtai,CN,30.4135,111.8874,285.93,90,5,3.75,1615678486
385,Hofn,IS,64.2539,-15.2082,274.67,54,99,5.85,1615678486
386,Sola,VU,-13.8833,167.55,302.15,84,90,4.88,1615678487
387,Mitsamiouli,KM,-11.3847,43.2844,300.85,72,98,1.54,1615678487
388,Zhigansk,RU,66.7697,123.3711,258.63,95,100,4.9,1615678487
389,Muroto-misakicho,JP,33.2833,134.15,283.15,46,0,3.09,1615678488
390,Province of Mantua,IT,45.1667,10.7833,280.08,81,43,0.89,1615678488
391,Saint-Pierre,RE,-21.3393,55.4781,296.45,73,0,5.14,1615678488
392,Riyadh,SA,24.6877,46.7219,289.78,36,47,2.86,1615678284
393,Santa Rosa,PH,14.3122,121.1114,299.23,78,75,2.06,1615678489
394,Beringovskiy,RU,63.05,179.3167,268.84,89,28,3.03,1615678218
395,Pec,XK,42.6591,20.2883,277.15,93,0,1.03,1615678489
396,Mayo,US,38.8876,-76.5119,281.02,34,1,2.57,1615678490
397,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,270.15,63,40,5.0,1615678235
398,Dzilam González,MX,21.2833,-88.9333,298.97,62,20,5.02,1615678490
399,Jāwad,IN,24.6,74.85,293.41,36,33,1.95,1615678290
400,Zhuanghe,CN,39.7008,122.9911,276.48,83,0,0.61,1615678491
401,Altay,CN,47.8667,88.1167,262.11,63,100,1.19,1615678491
402,Bhadrāchalam,IN,17.6667,80.8833,292.52,78,28,1.11,1615678492
403,Pudozh,RU,61.8099,36.5345,273.64,97,100,3.96,1615678492
404,Dārāb,IR,28.7519,54.5444,285.13,36,1,0.41,1615678492
405,Jüterbog,DE,51.9833,13.0833,277.93,67,38,4.92,1615678493
406,Kangar,MY,6.4414,100.1986,297.02,94,20,2.56,1615678493
407,Thessaloniki,GR,40.6403,22.9439,282.74,84,3,0.45,1615678241
408,Tautira,PF,-17.7333,-149.15,303.67,66,20,2.57,1615678494
409,Avera,US,33.194,-82.5271,296.21,53,1,3.07,1615678495
410,Zaranj,AF,30.9667,61.8833,281.23,41,1,7.31,1615678495
411,Huangmei,CN,30.1924,116.025,285.95,80,0,1.41,1615678496
412,Moree,AU,-29.4667,149.85,295.15,88,75,7.72,1615678496
413,Tasiilaq,GL,65.6145,-37.6368,269.15,80,75,10.8,1615678188
414,Namtsy,RU,62.7161,129.6658,263.15,85,20,3.0,1615678232
415,Codrington,AU,-38.2667,141.9667,288.25,49,51,5.32,1615678497
416,Sur,OM,22.5667,59.5289,299.07,35,0,6.72,1615678179
417,Bud,US,39.447,-86.1758,281.89,34,1,1.87,1615678336
418,Rosarito,MX,32.3333,-117.0333,286.78,76,75,7.72,1615678497
419,Taoudenni,ML,22.6783,-3.9836,294.14,43,90,5.01,1615678498
420,Avila,ES,40.5833,-5.0,277.59,81,57,0.89,1615678498
421,Iralaya,HN,15.0,-83.2333,301.15,78,40,2.06,1615678498
422,Leon Valley,US,29.4952,-98.6186,297.48,61,20,7.72,1615678499
423,Kahului,US,20.8947,-156.47,294.39,94,90,7.72,1615678257
424,Balkhash,KZ,46.844,74.9804,261.66,55,100,8.98,1615678499
425,Amahai,ID,-3.3333,128.9167,303.71,85,98,1.6,1615678500
426,Yoichi,JP,43.2039,140.7703,277.09,81,75,4.63,1615678295
427,Bathsheba,BB,13.2167,-59.5167,299.15,69,40,5.14,1615678197
428,Roald,NO,62.5833,6.1333,274.98,70,20,3.09,1615678230
429,Belmonte,BR,-15.8631,-38.8828,299.15,69,0,4.63,1615678500
430,Rosário Oeste,BR,-14.8361,-56.4275,297.44,88,58,0.96,1615678501
431,Corowa,AU,-36.0333,146.3833,289.26,60,32,2.68,1615678501
432,Port Blair,IN,11.6667,92.75,299.07,75,12,2.63,1615678501
433,Rájec-Jestřebí,CZ,49.4109,16.639,280.73,56,90,4.33,1615678503
434,Colares,PT,38.7992,-9.4469,284.48,74,0,8.49,1615678360
435,Dalvik,IS,65.9702,-18.5286,268.15,74,40,3.09,1615678504
436,Francavilla al Mare,IT,42.4206,14.287,288.15,38,8,6.17,1615678504
437,Skibbereen,IE,51.55,-9.2667,277.15,81,20,7.2,1615678505
438,São José da Coroa Grande,BR,-8.8978,-35.1478,298.98,79,36,4.04,1615678505
439,Mitrofanovka,RU,49.9708,39.6939,270.56,96,95,4.09,1615678506
440,La Seyne-sur-Mer,FR,43.0982,5.8847,285.19,69,87,4.02,1615678506
441,Sambek,RU,47.7431,39.8308,275.15,75,75,4.0,1615678506
442,Half Moon Bay,US,37.4636,-122.4286,284.58,71,90,4.12,1615678507
443,Sirte,LY,31.2089,16.5887,289.3,62,100,8.52,1615678105
444,Mīāndoāb,IR,36.9694,46.1027,273.7,62,2,0.25,1615678508
445,Genhe,CN,50.7833,121.5167,269.31,87,58,1.93,1615678230
446,Mossamedes,AO,-15.1961,12.1522,297.02,80,55,2.56,1615678508
447,Taldan,RU,53.6667,124.8,270.48,91,100,1.34,1615678508
448,Athabasca,CA,54.7169,-113.2854,280.21,46,76,4.12,1615678509
449,Mbanza-Ngungu,CD,-5.25,14.8667,294.09,96,84,1.76,1615678108
450,Ruska Poliana,UA,49.417,31.9201,273.55,94,90,3.87,1615678509
451,Saint-Augustin,CA,51.226,-58.6502,267.1,76,100,8.21,1615678274
452,Shingū,JP,33.7333,135.9833,282.15,66,20,9.26,1615678510
453,Port-Gentil,GA,-0.7193,8.7815,299.15,89,20,1.54,1615678510
454,Korhogo,CI,9.45,-5.6333,300.04,21,87,0.89,1615678510
455,Deputatsky,RU,69.3,139.9,242.65,76,0,1.05,1615678191
456,Villiers,ZA,-27.0303,28.6006,285.21,68,0,2.43,1615678511
457,Churapcha,RU,62.0025,132.4325,263.49,92,100,2.16,1615678511
458,Nuuk,GL,64.1835,-51.7216,263.65,67,64,7.72,1615678512
459,Abhā,SA,18.2164,42.5053,291.15,34,5,1.03,1615678297
460,Mehamn,NO,71.0357,27.8492,268.14,86,100,2.9,1615678512
461,Fort Frances,CA,48.5999,-93.4003,282.15,31,1,7.2,1615678423
462,Hedaru,TZ,-4.5,37.9,292.99,91,51,0.2,1615678513
463,Salalah,OM,17.0151,54.0924,296.15,78,0,1.03,1615678513
464,San Patricio,US,28.017,-97.5169,297.43,73,40,10.29,1615678300
465,Todos Santos,MX,23.45,-110.2167,298.15,24,16,4.47,1615678514
466,Villa Bruzual,VE,9.3328,-69.1208,300.73,57,67,3.35,1615678514
467,La Concordia,NI,13.1953,-86.1667,295.15,73,75,6.17,1615678515
468,Broome,US,42.2506,-75.833,274.92,30,1,3.6,1615678113
469,Zhangye,CN,38.9342,100.4517,281.61,23,37,3.26,1615678516
470,La Romana,DO,18.4273,-68.9728,297.15,83,40,3.09,1615678516
471,Carquefou,FR,47.2982,-1.4902,279.64,70,0,5.14,1615678516
472,Okhotsk,RU,59.3833,143.3,255.8,63,57,3.55,1615678516
473,Mālūr,IN,13.0075,77.9378,290.15,72,0,1.54,1615678517
474,Alugan,PH,12.2188,125.4808,298.51,89,99,1.59,1615678517
475,Mount Gambier,AU,-37.8333,140.7667,286.15,76,57,3.09,1615678306
476,Turukhansk,RU,65.8167,87.9833,240.39,98,60,3.78,1615677958
477,Shirvan,AZ,39.9509,48.8994,275.52,74,80,0.36,1615678518
478,Bilibino,RU,68.0546,166.4372,253.5,94,100,1.93,1615678518
479,Tartagal,AR,-22.5164,-63.8013,298.0,67,93,0.41,1615678518
480,Flin Flon,CA,54.7682,-101.865,274.15,37,40,1.03,1615678519
481,Santa Vitória do Palmar,BR,-33.5189,-53.3681,290.5,74,19,2.86,1615678495
482,Gârceni,RO,46.7667,27.2833,274.92,100,90,6.69,1615678519
483,Yar-Sale,RU,66.8333,70.8333,259.38,91,100,4.32,1615678093
484,Port Macquarie,AU,-31.4333,152.9167,301.83,73,40,2.57,1615678347
485,Vostok,RU,46.4856,135.8833,273.46,77,47,0.43,1615678520
486,Strezhevoy,RU,60.7333,77.5889,258.15,92,0,3.0,1615678521
487,Mattru,SL,7.6244,-11.8332,298.81,83,100,1.78,1615678521
488,São Félix do Xingu,BR,-6.6447,-51.995,295.66,98,85,1.02,1615678118
489,Arman',RU,59.7,150.1667,257.31,67,0,2.45,1615678521
490,Rivers,CA,50.0308,-100.2403,282.15,49,1,4.12,1615678522
491,Byron Bay,AU,-28.65,153.6167,299.17,69,4,4.63,1615678402
492,Vendas Novas,PT,38.6771,-8.4579,285.13,82,0,1.54,1615678522
493,Anking,CN,30.5092,117.0506,285.61,78,0,0.37,1615678522
494,Mazyr,BY,52.0495,29.2456,274.66,93,99,5.39,1615678272
495,Kununurra,AU,-15.7667,128.7333,301.15,89,100,2.06,1615678523
496,Pokhara,NP,28.2333,83.9833,289.44,34,16,2.1,1615678250
497,Stupino,RU,54.9008,38.0708,271.02,86,90,5.0,1615678523
498,Solnechnyy,RU,50.7214,136.6319,271.92,85,71,3.6,1615678524
499,Amaraji,BR,-8.3831,-35.4525,300.15,65,40,3.6,1615678524
500,Puro,PH,12.4841,123.3827,298.67,85,100,3.45,1615678524
501,Carauari,BR,-4.8828,-66.8958,296.87,94,91,0.67,1615678525
502,Waitati,NZ,-45.75,170.5667,290.93,71,0,3.58,1615678525
503,Talagante,CL,-33.6667,-70.9333,295.36,49,0,5.14,1615678525
504,Bah,IN,26.87,78.5975,293.72,43,30,3.05,1615678526
505,Sri Aman,MY,1.2376,111.4621,297.1,100,43,0.24,1615678526
506,Port Lincoln,AU,-34.7333,135.8667,288.38,54,67,4.69,1615678526
507,Surgut,RU,61.25,73.4167,262.15,73,0,4.0,1615678527
508,Monroe,US,43.1501,-77.6831,274.8,48,75,8.23,1615678252
509,Waddān,LY,29.1614,16.139,291.42,31,100,7.64,1615678246
510,Breytovo,RU,58.2993,37.8617,273.05,93,95,4.34,1615678527
511,Peterhead,GB,57.5058,-1.7981,277.28,75,89,4.12,1615678527
512,Te Anau,NZ,-45.4167,167.7167,291.34,55,25,5.0,1615678249
513,Saint Anthony,US,45.0205,-93.218,287.51,33,1,4.63,1615678528
514,Kumluca,TR,36.3703,30.2869,286.04,82,72,1.94,1615678528
515,Ivankiv,UA,50.9386,29.8943,276.04,87,98,4.0,1615678529
516,Sioux Lookout,CA,50.1001,-91.917,279.15,31,40,9.26,1615678529
517,Ponta Delgada,PT,37.7333,-25.6667,288.15,94,75,7.72,1615678385
518,Mount Isa,AU,-20.7333,139.5,301.15,61,24,5.14,1615678248
519,La Unión,PE,-5.4,-80.75,301.94,51,5,7.25,1615678529
520,Hualmay,PE,-11.0964,-77.6139,295.68,81,5,2.6,1615678530
521,Alto Longá,BR,-5.2511,-42.2103,296.55,92,66,0.58,1615678530
522,Prince Rupert,CA,54.3161,-130.3201,273.76,100,90,2.57,1615678410
523,Norman Wells,CA,65.282,-126.8329,254.15,60,75,1.03,1615677944
524,Tripoli,LY,32.8752,13.1875,288.38,71,100,3.32,1615678511
525,Kushima,JP,31.4583,131.2333,281.43,62,20,3.09,1615678531
526,Singaparna,ID,-7.3515,108.111,296.2,85,96,0.9,1615678531
527,Kindu,CD,-2.95,25.95,293.03,97,100,1.04,1615678531
528,Barra do Garças,BR,-15.89,-52.2567,297.3,89,76,1.7,1615678532
529,Camacupa,AO,-12.0167,17.4833,289.58,93,97,1.19,1615678110
530,Bānkura,IN,23.25,87.0667,292.63,56,0,2.46,1615678532
531,Panama City,PA,8.9936,-79.5197,302.87,54,20,6.69,1615678533
532,Muaná,BR,-1.5283,-49.2167,297.55,94,95,1.95,1615678533
533,Presidente Médici,BR,-11.1753,-61.9014,296.89,90,99,1.44,1615678534
534,Vyazemskiy,RU,47.5378,134.7525,272.16,73,0,0.66,1615678535
535,Irbit,RU,57.6705,63.071,259.11,90,0,4.0,1615678535
536,Sangmélima,CM,2.9333,11.9833,293.95,97,89,1.75,1615678536
537,Pa Sang,TH,18.5262,98.9394,296.81,73,2,0.51,1615678536
538,Čierna nad Tisou,SK,48.417,22.0887,279.19,80,100,1.79,1615678537
539,Mokrous,RU,51.2333,47.5167,264.28,79,100,5.51,1615678537
540,Dhārchula,IN,29.85,80.5333,285.69,18,0,3.06,1615678537
541,Dakar,SN,14.6937,-17.4441,294.15,68,1,4.12,1615678369
542,Hutchinson,US,38.0608,-97.9298,287.36,94,90,3.6,1615678475
543,Belyy Yar,RU,53.6039,91.3903,256.15,66,0,6.0,1615678538
544,Qasigiannguit,GL,68.8193,-51.1922,261.15,67,100,8.23,1615678538
545,Houma,US,29.5958,-90.7195,296.73,53,1,5.14,1615678539
546,Jepara,ID,-5.1695,105.7044,296.48,95,99,1.54,1615678539
547,Aranos,NA,-24.1333,19.1167,296.4,48,1,5.03,1615678539
548,Isla Mujeres,MX,21.2311,-86.731,299.38,57,40,5.14,1615678540
549,Arroyo de la Encomienda,ES,41.6096,-4.7969,279.31,81,0,3.6,1615678540
550,Fairbanks,US,64.8378,-147.7164,257.64,55,1,1.17,1615678540
551,Atar,MR,20.5169,-13.0499,292.94,11,0,3.45,1615678541
552,Manicoré,BR,-5.8092,-61.3003,298.15,94,100,1.54,1615678541
553,Yinchuan,CN,38.4681,106.2731,284.92,34,94,0.88,1615678541
554,College,US,64.8569,-147.8028,257.48,46,1,1.14,1615677982
555,Westerland,DE,54.9079,8.3033,277.09,93,90,7.72,1615678542
556,Pangnirtung,CA,66.1451,-65.7125,247.57,99,99,0.09,1615678542
557,Amazar,RU,53.858,120.875,269.61,94,100,1.14,1615678543
558,Nabire,ID,-3.3667,135.4833,299.68,79,98,0.9,1615678543
559,Caravelas,BR,-17.7125,-39.2481,297.49,81,0,2.54,1615678194
560,Khovd,MN,48.0056,91.6419,263.24,27,100,7.83,1615678256
561,Kutum,SD,14.2,24.6667,292.49,18,65,3.09,1615678091
562,Lusambo,CD,-4.9667,23.45,294.27,96,100,0.37,1615678544
563,Nago,JP,26.5881,127.9761,290.37,88,75,3.09,1615678544
564,Oranjestad,AW,12.524,-70.027,300.15,74,20,5.66,1615678520
565,Manggar,ID,-2.8833,108.2667,299.06,84,56,1.97,1615678544
566,Anori,BR,-3.7728,-61.6442,297.38,90,38,1.03,1615678545
567,Monte Santo,BR,-10.4378,-39.3328,296.94,69,16,5.38,1615678545
568,Kamiiso,JP,41.8167,140.65,278.15,93,75,2.57,1615678545
569,Nome,US,64.5011,-165.4064,260.29,72,75,10.8,1615678397
570,Tibati,CM,6.4667,12.6333,293.49,88,100,2.78,1615678546
571,Våler,NO,60.6785,11.8331,271.9,93,75,1.03,1615678546
572,Pascagoula,US,30.3658,-88.5561,293.79,56,1,3.09,1615678547
573,Swellendam,ZA,-34.0226,20.4417,292.15,88,95,4.63,1615678547
574,Beni Suef,EG,29.0731,31.0979,286.03,67,27,4.98,1615678547
575,Pelym,RU,61.0108,61.9978,262.26,89,29,3.72,1615678548
576,Jalor,IN,25.35,72.6167,289.58,41,30,0.46,1615678384
577,Ust'-Shonosha,RU,61.1531,41.343,268.31,92,100,4.61,1615678548
578,Berlevåg,NO,70.8578,29.0864,268.75,84,99,3.63,1615678091
579,Hurghada,EG,27.2574,33.8129,291.15,34,0,5.14,1615678549
580,Batagay-Alyta,RU,67.8006,130.4114,249.14,86,89,0.9,1615678549
581,Marrakesh,MA,31.6315,-8.0083,289.15,72,0,2.57,1615678393
582,Juliaca,PE,-15.5,-70.1333,281.9,74,70,2.3,1615678549
583,Nador,MA,35.174,-2.9287,284.79,67,0,2.06,1615678550
584,Dunedin,NZ,-45.8742,170.5036,290.93,71,0,3.58,1615678550
585,Srednekolymsk,RU,67.45,153.6833,245.54,96,75,1.9,1615678186
586,Dois Vizinhos,BR,-25.7336,-53.0572,292.39,73,0,0.89,1615678395
587,Syamzha,RU,60.0158,41.0614,267.12,93,100,3.83,1615678551
588,Bahía Blanca,AR,-38.7196,-62.2724,296.88,37,23,3.73,1615678551
589,Lagoa,PT,39.05,-27.9833,288.77,84,39,12.87,1615678551
590,Erenhot,CN,43.6475,111.9767,278.75,62,84,4.2,1615678552
591,Freeport,US,40.6576,-73.5832,280.12,39,1,6.17,1615678340
592,Formosa,AR,-26.1775,-58.1781,300.15,57,0,2.57,1615678351
593,Parabel',RU,58.6978,81.4825,259.21,94,94,4.16,1615678552
594,Lurgan,GB,54.4608,-6.3294,277.64,93,20,5.14,1615678552
595,Mirny,RU,62.5353,113.9611,255.03,94,75,3.61,1615678553
596,Salinas,US,36.6777,-121.6555,285.71,62,90,5.14,1615678351
