,city,country,lat,lon,temp,humidity,cloudiness,windiness,datetime
82,Bairnsdale,AU,-37.8333,147.6167,289.26,59,29,1.79,1615678401
83,Straumen,NO,63.8709,11.2999,272.61,74,0,3.09,1615678402
84,Cidreira,BR,-30.1811,-50.2056,296.55,84,17,5.07,1615678169
85,Serenje,ZM,-13.2325,30.2352,290.4,99,100,1.17,1615678402
86,Dīdwāna,IN,27.4,74.5667,291.71,39,19,1.24,1615678402
87,Tiksi,RU,71.6872,128.8694,253.32,92,73,3.65,1615678167
88,Torbay,CA,47.6666,-52.7314,274.75,75,75,4.63,1615678109
89,Ayan,RU,56.45,138.1667,265.13,74,100,0.33,1615678103
90,Nyuksenitsa,RU,60.4128,44.2397,267.03,93,100,4.68,1615678403
91,Bluff,NZ,-46.6,168.3333,294.82,49,3,5.81,1615678097
92,Kapuskasing,CA,49.4169,-82.4331,275.15,55,100,6.17,1615678402
93,Antalaha,MG,-14.9003,50.2788,296.37,86,69,3.37,1615678404
94,Stutterheim,ZA,-32.5708,27.424,293.49,49,16,1.18,1615678404
95,Puerto Ayora,EC,-0.7393,-90.3518,300.3,74,40,3.09,1615678171
96,Klichka,RU,50.4457,117.996,268.2,88,42,2.05,1615678404
97,Hopatcong,US,40.9329,-74.6593,278.09,23,0,1.96,1615678405
98,Wad Medani,SD,14.4012,33.5199,300.07,18,80,5.61,1615678405
99,Biak,ID,-0.9131,122.8766,299.78,77,21,0.35,1615678319
100,São Filipe,CV,14.8961,-24.4956,294.7,76,0,2.41,1615678101
101,Buraidah,SA,26.326,43.975,288.15,51,0,2.57,1615678406
102,Broken Hill,AU,-31.95,141.4333,286.15,62,46,10.8,1615678181
103,Muravlenko,RU,63.7898,74.523,258.96,94,99,6.87,1615678406
104,Sangar,RU,63.9242,127.4739,258.6,94,100,2.7,1615678407
105,East London,ZA,-33.0153,27.9116,298.42,66,41,5.89,1615677918
106,Sirūr,IN,18.8333,74.3833,297.09,25,12,3.45,1615678407
107,Aswān,EG,24.0934,32.907,289.85,22,64,4.84,1615678339
108,Longyearbyen,SJ,78.2186,15.6401,258.15,61,75,4.12,1615678407
109,Ostrovnoy,RU,68.0531,39.5131,261.9,92,84,4.92,1615678408
110,Bambous Virieux,MU,-20.3428,57.7575,299.2,83,40,2.57,1615678196
111,Vestmannaeyjar,IS,63.4427,-20.2734,272.61,65,12,8.51,1615678183
112,Bengkulu,ID,-3.8004,102.2655,297.72,79,99,1.81,1615678360
113,Kimbe,PG,-5.5502,150.1429,303.03,66,90,1.69,1615678408
114,Ahipara,NZ,-35.1667,173.1667,295.47,51,0,0.79,1615678353
115,Pindushi,RU,62.9152,34.58,273.51,97,100,3.25,1615678409
116,Cayenne,GF,4.9333,-52.3333,298.36,100,0,1.03,1615678409
117,Nikolskoye,RU,59.7035,30.7861,274.76,87,75,4.0,1615677886
118,Comodoro Rivadavia,AR,-45.8667,-67.5,288.15,67,75,4.63,1615678410
119,Muros,ES,42.7762,-9.0603,280.42,94,9,0.45,1615678212
120,Saint Paul Harbor,US,57.79,-152.4072,274.15,23,1,7.2,1615678192
121,Hasaki,JP,35.7333,140.8333,285.82,47,20,6.17,1615678225
122,Isangel,VU,-19.55,169.2667,301.15,74,90,6.17,1615678173
123,Saskylakh,RU,71.9167,114.0833,251.24,98,54,2.87,1615678179
124,Tommot,RU,58.9564,126.2925,265.09,86,100,3.6,1615678411
125,Geraldton,AU,-28.7667,114.6,295.15,37,0,12.35,1615678216
126,Nyurba,RU,63.2842,118.3319,256.31,94,15,3.25,1615678186
127,Avarua,CK,-21.2078,-159.775,302.15,70,68,3.6,1615678176
128,Lüderitz,NA,-26.6481,15.1594,293.07,72,0,4.73,1615678107
129,Kortkeros,RU,61.8106,51.5806,268.15,63,90,7.0,1615678297
130,Puerto El Triunfo,SV,13.2833,-88.55,306.35,34,0,1.03,1615678412
131,Swindon,GB,51.558,-1.7812,278.8,81,90,7.72,1615678210
132,Mataura,NZ,-46.1927,168.8643,294.82,49,1,5.81,1615678171
133,Khani,GE,41.9563,42.9566,279.15,52,0,11.32,1615678412
134,Port Elizabeth,ZA,-33.918,25.5701,293.15,77,0,3.6,1615677957
135,Newport,GB,51.5877,-2.9984,279.47,74,40,2.24,1615678213
136,Karmaskaly,RU,54.3709,56.1837,255.04,71,0,1.0,1615678413
137,Kaseda-shirakame,JP,31.4167,130.3167,279.41,87,0,1.54,1615678414
138,Tecpan,GT,14.7623,-90.9947,294.74,46,40,7.2,1615678415
139,Coquimbo,CL,-29.9533,-71.3436,290.15,82,20,3.6,1615678199
140,Tual,ID,-5.6667,132.75,301.38,72,99,4.33,1615678415
141,Provideniya,RU,64.3833,-173.3,268.56,94,100,11.07,1615678183
