,city,country,lat,lon,temp,humidity,cloudiness,windiness
94,Jacareacanga,BR,-6.2222,-57.7528,297.09,98,96,1.01
95,Saskylakh,RU,71.9167,114.0833,249.69,98,42,2.11
96,Mar del Plata,AR,-38.0023,-57.5575,294.1,68,20,6.17
97,Maxixe,MZ,-23.8597,35.3472,296.79,86,14,3.81
98,Presidente Médici,BR,-11.1753,-61.9014,298.33,90,98,0.92
99,Labuhan,ID,-6.8844,112.2051,298.36,83,100,2.5
100,Nelson Bay,AU,-32.7167,152.15,295.5,100,90,5.66
101,Oblivskaya,RU,48.5362,42.5014,271.28,67,100,6.27
102,Marsabit,KE,2.3284,37.9899,294.9,49,18,5.15
103,Coquimbo,CL,-29.9533,-71.3436,291.15,72,20,5.14
104,Yumen,CN,40.2833,97.2,280.88,20,0,3.8
105,Paracuru,BR,-3.41,-39.0306,300.93,74,90,5.36
106,Grindavik,IS,63.8424,-22.4338,270.15,74,75,9.26
107,Puerto Ayacucho,VE,5.6639,-67.6236,301.88,65,100,2.74
108,Albert Town,JM,18.2943,-77.5424,300.15,61,20,6.69
109,Jinka,ET,5.65,36.65,295.12,44,89,1.42
110,Senekal,ZA,-28.3197,27.6208,291.45,39,0,4.98
111,Tasiilaq,GL,65.6145,-37.6368,269.15,80,90,8.23
112,Ponta do Sol,PT,32.6667,-17.1,285.67,72,99,5.01
113,Vytegra,RU,61.0064,36.4481,273.86,93,100,3.8
114,Mayo,US,38.8876,-76.5119,283.13,31,1,3.6
115,Jinchang,CN,38.4953,102.1739,282.46,25,100,4.04
116,Funtua,NG,11.5233,7.3081,299.1,22,48,3.73
117,Itoman,JP,26.1247,127.6694,290.48,68,75,2.06
118,Lebanon,US,36.2081,-86.2911,285.91,76,90,2.06
119,Sterling,US,39.0062,-77.4286,287.36,18,75,1.93
120,Mahébourg,MU,-20.4081,57.7,300.15,83,40,3.09
121,Lata,PT,40.1629,-8.3327,282.94,85,2,1.34
122,Lebedinyy,RU,58.5167,125.5167,261.54,91,100,4.55
123,Guerrero Negro,MX,27.9769,-114.0611,290.21,46,0,8.46
124,Lompoc,US,34.6391,-120.4579,285.8,67,90,6.17
125,Gorin,RU,51.1983,136.6669,268.92,94,78,3.67
126,Quelimane,MZ,-17.8786,36.8883,298.93,94,20,1.03
127,Miles City,US,46.4083,-105.8406,287.15,33,1,1.54
128,Faya,SA,18.3851,42.4509,291.62,48,0,2.1
129,Cabo San Lucas,MX,22.8909,-109.9124,295.54,56,1,6.17
130,Dikson,RU,73.5069,80.5464,243.24,96,100,7.44
131,San Vicente,AR,-26.6167,-54.1333,297.25,45,0,2.1
132,Henties Bay,NA,-22.116,14.2845,291.48,92,56,1.79
133,Saint-Pierre,RE,-21.3393,55.4781,296.38,78,0,2.06
134,Woodward,US,36.4337,-99.3904,289.41,100,90,7.2
135,Ribeira Grande,PT,38.5167,-28.7,289.15,94,75,9.26
136,Hithadhoo,MV,-0.6,73.0833,302.01,67,12,3.79
137,Berdigestyakh,RU,62.0989,126.6992,262.47,91,100,4.11
138,Mareeba,AU,-17.0,145.4333,298.43,74,53,3.6
139,Mandalgovi,MN,45.7625,106.2708,276.07,37,42,5.41
140,Victor Harbor,AU,-35.5667,138.6167,288.71,63,32,3.87
141,Bonavista,CA,48.6499,-53.1147,275.71,60,95,2.57
142,Timaru,NZ,-44.4,171.25,292.59,82,0,0.61
143,Qeshm,IR,26.9581,56.2719,295.65,73,0,2.06
144,Ilulissat,GL,69.2167,-51.1,261.15,67,100,7.72
145,Sabang,ID,5.8933,95.3214,301.0,73,44,4.3
146,Bandarbeyla,SO,9.4942,50.8122,298.54,81,52,4.19
147,Lorengau,PG,-2.0226,147.2712,301.46,67,14,0.98
148,Dingle,PH,10.9995,122.6711,296.94,94,100,1.66
149,Ketchikan,US,55.3422,-131.6461,274.15,93,90,3.6
150,Estelle,US,29.8458,-90.1067,297.32,64,75,5.14
151,San Patricio,US,28.017,-97.5169,297.89,65,75,12.86
152,Hofn,IS,64.2539,-15.2082,274.1,57,98,7.32
153,Avarua,CK,-21.2078,-159.775,302.15,70,62,4.12
154,Faanui,PF,-16.4833,-151.75,301.41,72,62,6.53
155,East London,ZA,-33.0153,27.9116,298.71,64,39,5.62
156,Yara,CU,20.2753,-76.9533,302.71,37,10,6.65
157,Namatanai,PG,-3.6667,152.4333,301.15,66,15,1.82
158,Norman Wells,CA,65.282,-126.8329,252.15,71,75,1.53
159,Saint-Augustin,CA,51.226,-58.6502,269.04,74,100,9.49
160,Negombo,LK,7.2083,79.8358,298.15,88,0,1.54
161,Tuatapere,NZ,-46.1333,167.6833,292.59,58,0,3.58
162,Chui,UY,-33.6971,-53.4616,291.93,69,11,3.81
163,Callaway,US,30.153,-85.5699,296.11,53,1,5.14
164,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,303.71,32,82,1.79
165,Lábrea,BR,-7.2586,-64.7981,302.35,70,54,0.49
166,Sioux Lookout,CA,50.1001,-91.917,279.15,28,75,8.75
167,Hūn,LY,29.1268,15.9477,292.05,30,100,8.31
168,Ancud,CL,-41.8697,-73.8203,291.58,63,0,3.09
